Year,Level 0,Level 1,Level 2,Level 3,Level 4,Current Metric,Value
2021,Operating Income,EBIT,EBITDA,Net Income,,Net Income from Continuing Operations,143284000000.0
2021,Operating Income,EBIT,EBITDA,Net Income,,Comprehensive Income Net of Tax,
2021,Operating Income,EBIT,,,,Income Before Tax,165578000000.0
2021,Operating Income,EBIT,Income Before Tax,,,Income Tax Expense,29278000000.0
2021,Operating Income,,,,,Operating Expenses,206406000000.0
2021,Operating Income,,,,,Depreciation,
2021,Operating Income,,,,,Depreciation and Amortization,47070000000.0
2021,EBIT,,,,,EBITDA,182481000000.0
2021,EBIT,EBITDA,,,,Net Income,150578000000.0
2021,EBIT,EBITDA,Net Income,,,Net Income from Continuing Operations,143284000000.0
2021,EBIT,EBITDA,Net Income,,,Comprehensive Income Net of Tax,
2021,EBIT,,,,,Income Before Tax,165578000000.0
2021,EBIT,Income Before Tax,,,,Income Tax Expense,29278000000.0
2021,Income Before Tax,,,,,Income Tax Expense,29278000000.0
2021,EBITDA,,,,,Net Income,150578000000.0
2021,EBITDA,Net Income,,,,Net Income from Continuing Operations,143284000000.0
2021,EBITDA,Net Income,,,,Comprehensive Income Net of Tax,
2021,Net Income,,,,,Net Income from Continuing Operations,143284000000.0
2021,Net Income,,,,,Comprehensive Income Net of Tax,
2021,Net Interest Income,,,,,Interest Income,72794000000.0
2021,Net Interest Income,,,,,Interest Expense,4476000000.0
2020,Total Revenue,,,,,Cost of Revenue,282367000000.0
2020,Total Revenue,,,,,Gross Profit,227344000000.0
2020,Total Revenue,Gross Profit,,,,Operating Income,172401000000.0
2020,Total Revenue,Gross Profit,Operating Income,,,EBIT,172401000000.0
2020,Total Revenue,Gross Profit,Operating Income,EBIT,,EBITDA,185789000000.0
2020,Total Revenue,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,149433000000.0
2020,Total Revenue,Gross Profit,Operating Income,EBIT,,Income Before Tax,166645000000.0
2020,Total Revenue,Gross Profit,Operating Income,EBIT,Income Before Tax,Income Tax Expense,20562000000.0
2020,Total Revenue,Gross Profit,Operating Income,,,Operating Expenses,135338000000.0
2020,Total Revenue,Gross Profit,Operating Income,,,Depreciation,
2020,Total Revenue,Gross Profit,Operating Income,,,Depreciation and Amortization,13388000000.0
2020,Total Revenue,Gross Profit,,,,"Selling, General and Administrative",28197000000.0
2020,Total Revenue,Gross Profit,,,,Research and Development,43080000000.0
2020,Total Revenue,,,,,Non-Interest Income,
2020,Total Revenue,,,,,Other Non-Operating Income,
2020,Total Revenue,,,,,Investment Income Net,
2020,Total Revenue,,,,,Net Interest Income,67776000000.0
2020,Total Revenue,Net Interest Income,,,,Interest Income,72956000000.0
2020,Total Revenue,Net Interest Income,,,,Interest Expense,5180000000.0
2020,Gross Profit,,,,,Operating Income,172401000000.0
2020,Gross Profit,Operating Income,,,,EBIT,172401000000.0
2020,Gross Profit,Operating Income,EBIT,,,EBITDA,185789000000.0
2020,Gross Profit,Operating Income,EBIT,EBITDA,,Net Income,149433000000.0
2020,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Net Income from Continuing Operations,140350000000.0
2020,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Comprehensive Income Net of Tax,
2020,Gross Profit,Operating Income,EBIT,,,Income Before Tax,166645000000.0
2020,Gross Profit,Operating Income,EBIT,Income Before Tax,,Income Tax Expense,20562000000.0
2020,Gross Profit,Operating Income,,,,Operating Expenses,135338000000.0
2020,Gross Profit,Operating Income,,,,Depreciation,
2020,Gross Profit,Operating Income,,,,Depreciation and Amortization,13388000000.0
2020,Gross Profit,,,,,"Selling, General and Administrative",28197000000.0
2020,Gross Profit,,,,,Research and Development,43080000000.0
2020,Operating Income,,,,,EBIT,172401000000.0
2020,Operating Income,EBIT,,,,EBITDA,185789000000.0
2020,Operating Income,EBIT,EBITDA,,,Net Income,149433000000.0
2020,Operating Income,EBIT,EBITDA,Net Income,,Net Income from Continuing Operations,140350000000.0
2020,Operating Income,EBIT,EBITDA,Net Income,,Comprehensive Income Net of Tax,
2020,Operating Income,EBIT,,,,Income Before Tax,166645000000.0
2020,Operating Income,EBIT,Income Before Tax,,,Income Tax Expense,20562000000.0
2020,Operating Income,,,,,Operating Expenses,135338000000.0
2020,Operating Income,,,,,Depreciation,
2020,Operating Income,,,,,Depreciation and Amortization,13388000000.0
